number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,mean_test_score,rank_test_score
495,0.8074448626298795,2025-03-11 14:35:19.996508,2025-03-11 14:35:39.148297,0 days 00:00:19.151789,0.8488253477514551,0.011321652201780375,12,6,1974,0.015109586747683418,8.427689727974528,0.859239843638426,COMPLETE,0.8074448626298795,60
804,0.8074440193251707,2025-03-11 16:04:12.711277,2025-03-11 16:04:30.347058,0 days 00:00:17.635781,0.8176942938897171,0.010982360950894212,12,7,1925,0.005326812266571158,4.604265425367925,0.9240173332112831,COMPLETE,0.8074440193251707,61
778,0.8074436177514999,2025-03-11 15:56:45.398100,2025-03-11 15:57:02.285167,0 days 00:00:16.887067,0.7710682335075696,0.010558600956984741,11,5,2002,0.004788775183446461,5.462389050401331,0.901896285810148,COMPLETE,0.8074436177514999,62
682,0.8074403047687155,2025-03-11 15:29:43.670992,2025-03-11 15:29:58.199501,0 days 00:00:14.528509,0.8380589914845326,0.011234277528378326,11,5,1631,0.040673390656731645,8.517596317527167,0.9145948176203711,COMPLETE,0.8074403047687155,63
563,0.8074388189461335,2025-03-11 14:54:04.392960,2025-03-11 14:54:21.652468,0 days 00:00:17.259508,0.8225964140720274,0.011128839629119584,13,6,1487,0.06201273980603447,6.190584728015223,0.8645378111916102,COMPLETE,0.8074388189461335,64
586,0.807434803209425,2025-03-11 15:00:57.269492,2025-03-11 15:01:21.075292,0 days 00:00:23.805800,0.785936521996008,0.01127653682346496,12,4,2033,0.5844342182801658,6.068519898639112,0.8425301006981786,COMPLETE,0.807434803209425,65
848,0.8074334177802606,2025-03-11 16:17:12.743941,2025-03-11 16:17:33.454428,0 days 00:00:20.710487,0.9249394802668333,0.010023575457782215,11,4,2023,0.7837145814329395,6.475120381833518,0.846349202339269,COMPLETE,0.8074334177802606,66
822,0.807430727236666,2025-03-11 16:09:30.120186,2025-03-11 16:09:47.549227,0 days 00:00:17.429041,0.8233577316588319,0.010682666586969248,12,7,1878,0.008389033386075159,4.361906301795725,0.8638887274894251,COMPLETE,0.807430727236666,67
953,0.8074306268432482,2025-03-11 16:43:52.549455,2025-03-11 16:44:12.796399,0 days 00:00:20.246944,0.7942146017256265,0.010496699993772557,13,5,1626,0.04143076120855336,5.9338932278466325,0.7790917527175316,COMPLETE,0.8074306268432482,68
239,0.8074109898907442,2025-03-11 13:23:49.246025,2025-03-11 13:24:07.935200,0 days 00:00:18.689175,0.7761990907331949,0.010056066175372327,11,3,1788,0.024959148717958447,7.971284763331256,0.8957700642088726,COMPLETE,0.8074109898907442,69
999,0.8074100060352506,2025-03-11 16:57:57.716821,2025-03-11 16:58:15.525432,0 days 00:00:17.808611,0.8081780897346985,0.011197493371746161,12,5,1707,0.06589681087185897,1.6280881688091045,0.8347073777043563,COMPLETE,0.8074100060352506,70
284,0.8074096044615798,2025-03-11 13:36:41.974722,2025-03-11 13:36:59.172437,0 days 00:00:17.197715,0.8308577431015602,0.010619804480280971,11,5,1946,0.009825582443209604,3.3395544340388934,0.8439490860052914,COMPLETE,0.8074096044615798,71
779,0.807409383596061,2025-03-11 15:57:02.286262,2025-03-11 15:57:17.687161,0 days 00:00:15.400899,0.7892529817441768,0.010044256541584107,11,7,1952,0.004461066975897558,6.2070776222107975,0.9084798472524074,COMPLETE,0.807409383596061,72
893,0.8074013722013277,2025-03-11 16:29:32.121191,2025-03-11 16:29:46.756556,0 days 00:00:14.635365,0.8567087451799937,0.010004256797823899,12,7,1485,0.11771872926277284,4.488825793004242,0.8077082350694405,COMPLETE,0.8074013722013277,73
443,0.8073984407135306,2025-03-11 14:20:24.373352,2025-03-11 14:20:41.915798,0 days 00:00:17.542446,0.848992690799979,0.010033894937020503,12,7,1769,0.9022680498689194,6.352950280280416,0.901467550273158,COMPLETE,0.8073984407135306,74
551,0.8073971757564674,2025-03-11 14:50:29.097988,2025-03-11 14:50:43.737332,0 days 00:00:14.639344,0.8219588678948604,0.010615394864075858,11,7,1801,0.010897165711491807,8.24822656178497,0.8825542271968382,COMPLETE,0.8073971757564674,75
882,0.8073959308780878,2025-03-11 16:26:40.105690,2025-03-11 16:26:54.782856,0 days 00:00:14.677166,0.7651670244275643,0.01166108578467523,12,7,1562,0.06203730580253855,3.406282964759582,0.8209411924261067,COMPLETE,0.8073959308780878,76
945,0.8073935816721134,2025-03-11 16:41:42.492378,2025-03-11 16:42:00.839372,0 days 00:00:18.346994,0.805395615686192,0.011551625377679925,12,5,1719,0.15512194132273738,3.1314274395474326,0.8533493211001667,COMPLETE,0.8073935816721134,77
675,0.8073930797050248,2025-03-11 15:27:48.386804,2025-03-11 15:28:09.635750,0 days 00:00:21.248946,0.8468565202468933,0.011924203848247774,12,5,2004,0.031216865497601384,8.469252537017024,0.8752928239048677,COMPLETE,0.8073930797050248,78
887,0.8073921761642655,2025-03-11 16:27:58.118113,2025-03-11 16:28:12.379699,0 days 00:00:14.261586,0.7980471278816711,0.010599917549547696,12,7,1481,0.0874797645775611,3.2617683301551317,0.7855923745244244,COMPLETE,0.8073921761642655,79
132,0.8073899072730252,2025-03-11 12:55:11.818347,2025-03-11 12:55:41.353166,0 days 00:00:29.534819,0.7909164733328913,0.011425666856679706,13,3,2064,0.00644859896930596,8.229634510122631,0.785543805463677,COMPLETE,0.8073899072730252,80
277,0.8073868954704939,2025-03-11 13:34:50.913353,2025-03-11 13:35:06.358016,0 days 00:00:15.444663,0.8094636364766618,0.010759617436917387,11,5,1798,0.028590724515716093,4.105585425714144,0.8643031612546626,COMPLETE,0.8073868954704939,81
229,0.8073857710642156,2025-03-11 13:21:08.371921,2025-03-11 13:21:25.381408,0 days 00:00:17.009487,0.8112643619842681,0.010009293038351866,11,5,1923,0.011581859960179101,2.6687743423958827,0.8541906222999553,COMPLETE,0.8073857710642156,82
507,0.8073822974519628,2025-03-11 14:38:30.087733,2025-03-11 14:38:43.278942,0 days 00:00:13.191209,0.7671876006752573,0.011990634385478266,11,7,1691,0.046978418721454356,4.467377063367737,0.8394087292643615,COMPLETE,0.8073822974519628,83
877,0.8073773781744951,2025-03-11 16:25:24.018943,2025-03-11 16:25:39.866392,0 days 00:00:15.847449,0.8899086603649183,0.01000108938849124,12,7,1615,0.0689138508131237,3.6491918984498395,0.8383389253716445,COMPLETE,0.8073773781744951,84
200,0.8073677604850785,2025-03-11 13:13:52.953608,2025-03-11 13:14:07.736061,0 days 00:00:14.782453,0.8066274380896746,0.011174602501764592,10,5,2031,0.014272263309626053,3.8561728734504666,0.8575024105023114,COMPLETE,0.8073677604850785,85
508,0.8073661140330279,2025-03-11 14:38:43.279960,2025-03-11 14:39:00.845382,0 days 00:00:17.565422,0.7928302044094079,0.010038416698707999,12,7,1940,0.045208704865894817,5.283565091193702,0.8664167073077579,COMPLETE,0.8073661140330279,86
958,0.8073519184037639,2025-03-11 16:45:14.862293,2025-03-11 16:45:33.306702,0 days 00:00:18.444409,0.7949340041020714,0.010697280074203548,12,5,1728,0.035428410176155285,2.487435682401494,0.8138234777047658,COMPLETE,0.8073519184037639,87
318,0.8073455133037141,2025-03-11 13:46:22.675433,2025-03-11 13:46:36.060612,0 days 00:00:13.385179,0.8196565324349817,0.011777633631652924,11,7,1683,0.011915626791004656,5.381596257525003,0.9125140833263912,COMPLETE,0.8073455133037141,88
961,0.8073422605569802,2025-03-11 16:46:09.597179,2025-03-11 16:46:29.392005,0 days 00:00:19.794826,0.7865675269587307,0.010569936136128928,13,5,1564,0.02551672010185928,4.728423311841353,0.8444392040855099,COMPLETE,0.8073422605569802,89
172,0.8073417987472589,2025-03-11 13:07:00.380260,2025-03-11 13:07:15.456495,0 days 00:00:15.076235,0.8027223463497496,0.011393694391854925,11,6,1890,0.012309191013195164,0.30129808225814664,0.8677951445765661,COMPLETE,0.8073417987472589,90
302,0.807336618446905,2025-03-11 13:42:04.440341,2025-03-11 13:42:23.515873,0 days 00:00:19.075532,0.8219902130820324,0.010031331328105277,12,5,1734,0.014024009528972117,8.533254632894982,0.8582980023534538,COMPLETE,0.807336618446905,91
213,0.8073329038904498,2025-03-11 13:16:53.071778,2025-03-11 13:17:09.628981,0 days 00:00:16.557203,0.8006850604959169,0.011178930042250358,11,5,1879,0.029249038378661586,2.922751867023652,0.8253607182806233,COMPLETE,0.8073329038904498,92
696,0.8073326830249308,2025-03-11 15:33:33.352653,2025-03-11 15:33:48.609436,0 days 00:00:15.256783,0.7151996525537264,0.010045631807647004,10,8,2377,0.011429542585619403,9.979506853800569,0.8348827977267783,COMPLETE,0.8073326830249308,93
307,0.8073270810722225,2025-03-11 13:43:32.931076,2025-03-11 13:43:49.157611,0 days 00:00:16.226535,0.8451017276923042,0.011861201439012837,12,7,1704,0.017429698857873533,6.898327324735619,0.8787220816068263,COMPLETE,0.8073270810722225,94
296,0.8073255149349063,2025-03-11 13:40:10.603528,2025-03-11 13:40:30.095979,0 days 00:00:19.492451,0.7198369425076417,0.011029235717308029,12,5,1889,0.015708364597106155,4.4682044081762,0.843222843230556,COMPLETE,0.8073255149349063,95
993,0.8073236275386533,2025-03-11 16:56:18.968153,2025-03-11 16:56:37.079571,0 days 00:00:18.111418,0.8378572385006187,0.011118071199103541,12,5,1551,1.249771772303846,3.0422841819982627,0.8425654880056047,COMPLETE,0.8073236275386533,96
231,0.807321981086603,2025-03-11 13:21:40.473020,2025-03-11 13:21:57.683565,0 days 00:00:17.210545,0.8103771154838175,0.010020572204261656,11,5,1928,0.010164693100192353,2.386390893494773,0.8478825418876017,COMPLETE,0.807321981086603,97
630,0.80731176103668,2025-03-11 15:14:24.745642,2025-03-11 15:14:41.361693,0 days 00:00:16.616051,0.7230585923713423,0.010022888805778115,11,5,1908,0.14102418652753473,6.204942771906885,0.8604178102319445,COMPLETE,0.80731176103668,98
289,0.8073033279895925,2025-03-11 13:37:57.930895,2025-03-11 13:38:20.160993,0 days 00:00:22.230098,0.8725581926595419,0.010019331118965425,12,5,2070,0.00906829404379426,9.878638922555497,0.856119242725354,COMPLETE,0.8073033279895925,99
